name,owner,stars,createdAt,updatedAt,primaryLanguage,pullRequests,releases,issues,closedIssues
freeCodeCamp,freeCodeCamp,426395,2014-12-24T17:49:19Z,2025-08-25T12:48:28Z,TypeScript,25740,0,19836,19646
build-your-own-x,codecrafters-io,413927,2018-05-09T12:03:18Z,2025-07-29T21:02:41Z,Markdown,142,0,825,595
awesome,sindresorhus,394746,2014-07-11T13:42:37Z,2025-07-18T18:37:33Z,Unknown,679,0,354,340
free-programming-books,EbookFoundation,366251,2013-10-11T06:50:37Z,2025-08-23T12:50:50Z,Python,6821,0,1181,1152
public-apis,public-apis,362830,2016-03-20T23:49:42Z,2025-05-20T15:56:34Z,Python,1872,0,712,704
developer-roadmap,kamranahmedse,334512,2017-03-15T13:45:52Z,2025-08-25T11:35:28Z,TypeScript,3694,1,2942,2693
coding-interview-university,jwasham,324795,2016-06-06T02:34:12Z,2024-12-05T23:47:30Z,Unknown,415,0,516,453
system-design-primer,donnemartin,317497,2017-02-26T16:15:28Z,2025-05-21T11:13:33Z,Python,200,0,341,91
996.ICU,996icu,274153,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,Unknown,1071,0,0,0
awesome-python,vinta,256625,2014-06-27T21:00:06Z,2025-07-17T16:35:51Z,Python,544,0,0,0
awesome-selfhosted,awesome-selfhosted,243575,2015-06-01T02:33:17Z,2025-08-22T08:51:14Z,Unknown,2394,1,806,806
project-based-learning,practical-tutorials,241065,2017-04-12T05:07:46Z,2024-08-15T05:33:54Z,Unknown,182,0,210,79
react,facebook,238385,2013-05-24T16:15:54Z,2025-08-25T07:39:57Z,JavaScript,12138,105,14003,13200
vue,vuejs,209297,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,TypeScript,1133,249,10028,9673
Python,TheAlgorithms,204371,2016-07-16T09:44:01Z,2025-08-25T10:14:42Z,Python,2987,0,1588,1520
linux,torvalds,200657,2011-09-04T22:48:12Z,2025-08-24T16:07:26Z,C,10,0,0,0
javascript-algorithms,trekhleb,193078,2018-03-24T07:47:04Z,2025-02-12T16:19:59Z,JavaScript,302,0,366,229
tensorflow,tensorflow,191322,2015-11-07T01:19:20Z,2025-08-25T13:00:22Z,C++,36052,219,40746,39845
computer-science,ossu,190954,2014-05-04T00:18:39Z,2025-08-23T18:48:52Z,HTML,299,0,652,638
the-book-of-secret-knowledge,trimstray,183589,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,Unknown,122,0,0,0
You-Dont-Know-JS,getify,183024,2013-11-16T02:37:24Z,2025-05-20T14:22:36Z,Unknown,368,0,944,863
CS-Notes,CyC2018,181557,2018-02-13T14:56:24Z,2024-08-21T09:40:10Z,Unknown,374,0,571,448
ohmyzsh,ohmyzsh,180923,2009-08-28T18:15:37Z,2025-08-25T00:37:10Z,Shell,3378,0,4964,4824
AutoGPT,Significant-Gravitas,178070,2023-03-16T09:21:07Z,2025-08-25T12:58:05Z,Python,3208,68,3396,3234
vscode,microsoft,176052,2015-09-03T20:23:38Z,2025-08-25T13:04:49Z,TypeScript,36306,177,205736,193602
bootstrap,twbs,172903,2011-07-29T21:19:00Z,2025-08-22T22:16:00Z,MDX,8974,93,22751,22346
flutter,flutter,172088,2015-03-06T22:54:58Z,2025-08-25T11:04:11Z,Dart,43868,7,108874,96968
Python-100-Days,jackfrued,171238,2018-03-01T16:05:52Z,2025-03-28T10:29:23Z,Jupyter Notebook,13,0,691,118
gitignore,github,168875,2010-11-08T20:17:14Z,2025-08-22T23:36:39Z,Unknown,1716,0,0,0
the-art-of-command-line,jlevy,157882,2015-05-20T15:11:03Z,2024-06-25T18:13:44Z,Unknown,317,0,258,136
stable-diffusion-webui,AUTOMATIC1111,155914,2022-08-22T14:05:26Z,2025-05-03T06:17:03Z,Python,1874,27,7831,5468
JavaGuide,Snailclimb,151409,2018-05-07T13:27:00Z,2025-08-25T05:46:21Z,Java,1180,0,1104,1032
ollama,ollama,150874,2023-06-26T19:39:32Z,2025-08-24T23:59:31Z,Go,2475,143,8034,6247
awesome-go,avelino,150760,2014-07-06T13:42:15Z,2025-08-21T02:49:55Z,Go,3458,0,688,682
transformers,huggingface,148792,2018-10-29T13:56:00Z,2025-08-25T12:50:54Z,Python,16691,224,17829,16746
javascript,airbnb,147302,2012-11-01T23:13:50Z,2024-12-09T06:56:18Z,JavaScript,810,0,1368,1270
Microsoft-Activation-Scripts,massgravel,145883,2020-01-12T23:03:34Z,2025-08-10T21:18:38Z,Batchfile,6,24,726,724
